row_idx,text,pred_label,max_prob,prob_threshold,dist_to_pred_centroid,class_distance_threshold,is_unknown,final_label,reject_reason,manual_pool,manual_true_label,keep_for_known,notes
892,"HEAD /backups/backup.gz HTTP/1.1 STATUS=301 BYTES=184 UA=""-""",benign,0.7122762799263,0.6156849563121796,3.157259702682495,5.838057994842529,0,benign,accepted,,,,
313,"GET /self.logs/error.log.2019-05-19.gz HTTP/1.1 STATUS=200 BYTES=8837 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6416256427764893,0.6156849563121796,4.0809736251831055,5.838057994842529,0,benign,accepted,,,,
651,"GET /self.logs/access.log.2021-10-22.gz HTTP/1.1 STATUS=200 BYTES=13949 UA=""Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36""",benign,0.6342354416847229,0.6156849563121796,4.679845809936523,5.838057994842529,0,benign,accepted,,,,
491,"GET / HTTP/1.1 STATUS=301 BYTES=438 UA=""Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)""",benign,0.638855516910553,0.6156849563121796,3.943244218826294,5.838057994842529,0,benign,accepted,,,,
318,"GET /Datasets Description/PE_malware/VirusShare.html HTTP/1.1 STATUS=200 BYTES=1607 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6314029693603516,0.6156849563121796,4.473052024841309,5.838057994842529,0,benign,accepted,,,,
21,"GET /self.logs/access.log.2020-01-14.gz HTTP/1.1 STATUS=200 BYTES=17693 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6292792558670044,0.6156849563121796,4.3112664222717285,5.838057994842529,0,benign,accepted,,,,
748,"GET /Datasets Description/HTML_Bro_log_1/ssl.html HTTP/1.1 STATUS=200 BYTES=1833 UA=""Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)""",benign,0.6413782238960266,0.6156849563121796,4.613803863525391,5.838057994842529,0,benign,accepted,,,,
795,"GET / HTTP/1.1 STATUS=200 BYTES=13151 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6818885803222656,0.6156849563121796,4.191408634185791,5.838057994842529,0,benign,accepted,,,,
821,"GET /self.logs/access.log.2020-01-22.gz HTTP/1.1 STATUS=200 BYTES=15520 UA=""Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36""",benign,0.6222455501556396,0.6156849563121796,4.88664436340332,5.838057994842529,0,benign,accepted,,,,
100,"GET /Datasets Description/HTML_Bro_log_1/loaded_scripts.html HTTP/1.1 STATUS=200 BYTES=1499 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6547859907150269,0.6156849563121796,4.279913425445557,5.838057994842529,0,benign,accepted,,,,
