row_idx,text,pred_label,max_prob,prob_threshold,dist_to_pred_centroid,class_distance_threshold,is_unknown,final_label,reject_reason
0,"GET / HTTP/1.1 STATUS=200 BYTES=13149 UA=""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)""",benign,0.5785744190216064,0.6156849563121796,3.898143768310547,5.838057994842529,1,unknown,low_confidence
1,"GET /Datasets Description/PE_malware/OPCleaver.html HTTP/1.1 STATUS=200 BYTES=1414 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5946983098983765,0.6156849563121796,4.539223670959473,5.838057994842529,1,unknown,low_confidence
2,"GET /self.logs/access.log.2017-03-14.gz HTTP/1.1 STATUS=301 BYTES=543 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",benign,0.4919740855693817,0.6156849563121796,4.841362953186035,5.838057994842529,1,unknown,low_confidence
3,"GET /self.logs/ HTTP/1.1 STATUS=200 BYTES=32315 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6042197942733765,0.6156849563121796,4.49748420715332,5.838057994842529,1,unknown,low_confidence
4,"GET /self.logs/access.log.2019-04-26.gz HTTP/1.1 STATUS=200 BYTES=23077 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6078473329544067,0.6156849563121796,4.429687023162842,5.838057994842529,1,unknown,low_confidence
5,"GET /self.logs/access.log.2019-11-22.gz HTTP/1.1 STATUS=200 BYTES=24264 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.603547215461731,0.6156849563121796,4.458496570587158,5.838057994842529,1,unknown,low_confidence
6,"GET /robots.txt HTTP/1.1 STATUS=200 BYTES=377 UA=""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)""",benign,0.544373631477356,0.6156849563121796,4.681467533111572,5.838057994842529,1,unknown,low_confidence
7,"GET /self.logs/error.log.2017-10-18.gz HTTP/1.1 STATUS=200 BYTES=2797 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5913388133049011,0.6156849563121796,4.26134729385376,5.838057994842529,1,unknown,low_confidence
8,"GET /Datasets Description/Network/tunnel.html HTTP/1.1 STATUS=200 BYTES=1426 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5893389582633972,0.6156849563121796,4.543121337890625,5.838057994842529,1,unknown,low_confidence
9,"GET / HTTP/1.1 STATUS=200 BYTES=13149 UA=""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)""",benign,0.5785744190216064,0.6156849563121796,3.898143768310547,5.838057994842529,1,unknown,low_confidence
10,"GET /self.logs/access.log.2021-03-10.gz HTTP/1.1 STATUS=200 BYTES=29938 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.5691231489181519,0.6156849563121796,4.550393581390381,5.838057994842529,1,unknown,low_confidence
11,"GET /self.logs/error.log.2017-02-17.gz HTTP/1.1 STATUS=200 BYTES=874 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6051121950149536,0.6156849563121796,4.315223217010498,5.838057994842529,1,unknown,low_confidence
12,"GET /self.logs/access.log.2020-05-15.gz HTTP/1.1 STATUS=200 BYTES=9620 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.6120381951332092,0.6156849563121796,4.544783592224121,5.838057994842529,1,unknown,low_confidence
13,"GET /robots.txt HTTP/1.1 STATUS=200 BYTES=377 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",benign,0.5172491669654846,0.6156849563121796,4.747979164123535,5.838057994842529,1,unknown,low_confidence
14,"GET /Datasets Description/Network/http.html HTTP/1.1 STATUS=200 BYTES=1709 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",benign,0.5869958996772766,0.6156849563121796,4.502138614654541,5.838057994842529,1,unknown,low_confidence
15,"GET /self.logs/access.log.2020-10-26.gz HTTP/1.1 STATUS=200 BYTES=12128 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.605420708656311,0.6156849563121796,4.662591457366943,5.838057994842529,1,unknown,low_confidence
16,"GET /self.logs/error.log.2017-10-17.gz HTTP/1.1 STATUS=200 BYTES=4081 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",benign,0.613620400428772,0.6156849563121796,4.200202465057373,5.838057994842529,1,unknown,low_confidence
17,"GET /GitHub-Mark.png HTTP/1.1 STATUS=200 BYTES=7519 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (compatible; Baiduspider-render/2.0; +http://www.baidu.com/search/spider.html)""",benign,0.4489602744579315,0.6156849563121796,5.829659461975098,5.838057994842529,1,unknown,low_confidence
