text,label,filter_reason,source_log,timestamp,ip,path_with_query,status,user_agent
"GET /Datasets Description/Network/ftp.html HTTP/1.1 STATUS=200 BYTES=1486 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",,bot_like_ua,2021-10-22,2021-10-22T02:28:56-07:00,51.222.253.14,/Datasets Description/Network/ftp.html,200,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
"GET /Datasets Description/Network/ssl.html HTTP/1.1 STATUS=200 BYTES=1541 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",,bot_like_ua,2021-10-22,2021-10-22T02:47:52-07:00,51.222.253.5,/Datasets Description/Network/ssl.html,200,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
"GET / HTTP/1.1 STATUS=200 BYTES=13149 UA=""Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)""",,bot_like_ua,2021-10-22,2021-10-22T02:49:49-07:00,49.7.20.128,/,200,Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
"GET /css/style.css HTTP/1.1 STATUS=404 BYTES=305 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36""",,static_asset|status_404,2021-10-22,2021-10-22T02:50:49-07:00,116.86.203.45,/css/style.css,404,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
"GET /twitter-icon.png HTTP/1.1 STATUS=200 BYTES=27916 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36""",,static_asset,2021-10-22,2021-10-22T02:50:49-07:00,116.86.203.45,/twitter-icon.png,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
"GET /GitHub-Mark.png HTTP/1.1 STATUS=200 BYTES=7556 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36""",,static_asset,2021-10-22,2021-10-22T02:50:49-07:00,116.86.203.45,/GitHub-Mark.png,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
"GET /bootstrap/img/favicon.ico HTTP/1.1 STATUS=200 BYTES=690 REF=""http://www.secrepo.com/"" UA=""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36""",,static_asset,2021-10-22,2021-10-22T02:50:50-07:00,116.86.203.45,/bootstrap/img/favicon.ico,200,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36"
"GET /Datasets Description/PE_malware/OPCleaver.html HTTP/1.1 STATUS=200 BYTES=1414 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",,bot_like_ua,2021-10-22,2021-10-22T02:57:01-07:00,51.222.253.10,/Datasets Description/PE_malware/OPCleaver.html,200,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
"GET /self.logs/access.log.2017-03-14.gz HTTP/1.1 STATUS=301 BYTES=543 UA=""Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)""",,bot_like_ua|static_asset|log_file_path,2021-10-22,2021-10-22T03:01:19-07:00,157.55.39.24,/self.logs/access.log.2017-03-14.gz,301,Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)
"GET /Datasets Description/Network/dns.html HTTP/1.1 STATUS=200 BYTES=1499 UA=""Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)""",,bot_like_ua,2021-10-22,2021-10-22T03:06:43-07:00,51.222.253.16,/Datasets Description/Network/dns.html,200,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
