row_idx,text,pred_label,max_prob,prob_threshold,dist_to_pred_centroid,class_distance_threshold,is_unknown,final_label,reject_reason
0,METHOD=HEAD PATH=/old/.well-known.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.9889706373214722,0.7608795523643493,3.331378936767578,4.364269733428955,0,suspicious_path_probe,accepted
1,METHOD=HEAD PATH=/backups/public_html.rar QUERY= PROTOCOL=HTTP/1.1,benign,0.8410627841949463,0.7608795523643493,7.378305912017822,8.26656985282898,0,benign,accepted
2,METHOD=HEAD PATH=/bak/.well-known.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.9821254014968872,0.7608795523643493,3.294065475463867,4.364269733428955,0,suspicious_path_probe,accepted
3,METHOD=HEAD PATH=/back/www.sql QUERY= PROTOCOL=HTTP/1.1,benign,0.8089618682861328,0.7608795523643493,8.725879669189453,8.26656985282898,0,benign,accepted
4,METHOD=HEAD PATH=/backups/bak.tar QUERY= PROTOCOL=HTTP/1.1,benign,0.8156593441963196,0.7608795523643493,7.699916839599609,8.26656985282898,0,benign,accepted
5,METHOD=GET PATH=/Datasets Description/HTML_Bro_log_1/dns.html QUERY= PROTOCOL=HTTP/1.1,benign,0.6643494963645935,0.7608795523643493,7.301268100738525,8.26656985282898,0,benign,accepted
6,METHOD=HEAD PATH=/backup.tar QUERY= PROTOCOL=HTTP/1.1,benign,0.8669310808181763,0.7608795523643493,7.265739917755127,8.26656985282898,0,benign,accepted
7,METHOD=HEAD PATH=/back/dump.sql QUERY= PROTOCOL=HTTP/1.1,benign,0.77901291847229,0.7608795523643493,7.73829460144043,8.26656985282898,0,benign,accepted
8,METHOD=HEAD PATH=/bak/wallet.dat QUERY= PROTOCOL=HTTP/1.1,benign,0.779902458190918,0.7608795523643493,7.5633697509765625,8.26656985282898,0,benign,accepted
9,METHOD=HEAD PATH=/bak/sql.sql QUERY= PROTOCOL=HTTP/1.1,benign,0.8548802137374878,0.7608795523643493,8.027266502380371,8.26656985282898,0,benign,accepted
10,METHOD=HEAD PATH=/bak.rar QUERY= PROTOCOL=HTTP/1.1,benign,0.7728981375694275,0.7608795523643493,8.35890007019043,8.26656985282898,0,benign,accepted
11,METHOD=POST PATH=/index.php/api/Uploadify/preview QUERY= PROTOCOL=HTTP/1.1,command_exec,0.9921122789382935,0.7608795523643493,1.8354434967041016,4.200531862974167,0,command_exec,accepted
12,METHOD=HEAD PATH=/back/public_html.tar QUERY= PROTOCOL=HTTP/1.1,benign,0.8578622937202454,0.7608795523643493,7.093635559082031,8.26656985282898,0,benign,accepted
13,METHOD=GET PATH=/.git/info/refs QUERY=service=git-upload-pack PROTOCOL=HTTP/1.1,suspicious_path_probe,0.7187331914901733,0.7608795523643493,7.277401924133301,4.364269733428955,1,unknown,low_confidence+far_from_centroid
14,METHOD=GET PATH=/ QUERY= PROTOCOL=HTTP/1.0,suspicious_path_probe,0.6977498531341553,0.7608795523643493,7.12229585647583,4.364269733428955,1,unknown,low_confidence+far_from_centroid
15,METHOD=HEAD PATH=/restore/backup.zip QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.9480254650115967,0.7608795523643493,1.6349724531173706,4.364269733428955,0,suspicious_path_probe,accepted
16,METHOD=GET PATH=/data/admin/allowurl.txt QUERY= PROTOCOL=HTTP/1.1,benign,0.4520861804485321,0.7608795523643493,8.420138359069824,8.26656985282898,1,unknown,low_confidence+far_from_centroid
17,METHOD=HEAD PATH=/bak/bak.rar QUERY= PROTOCOL=HTTP/1.1,benign,0.7875156998634338,0.7608795523643493,8.265862464904785,8.26656985282898,0,benign,accepted
18,METHOD=GET PATH=/up.php QUERY= PROTOCOL=HTTP/1.1,command_exec,0.9201828837394714,0.7608795523643493,4.929804801940918,4.200531862974167,1,unknown,far_from_centroid
19,METHOD=HEAD PATH=/old/dump.sql QUERY= PROTOCOL=HTTP/1.1,benign,0.7617857456207275,0.7608795523643493,7.59368371963501,8.26656985282898,0,benign,accepted
20,METHOD=HEAD PATH=/backup.rar QUERY= PROTOCOL=HTTP/1.1,benign,0.82588791847229,0.7608795523643493,7.615574836730957,8.26656985282898,0,benign,accepted
21,METHOD=HEAD PATH=/old/backup.sql QUERY= PROTOCOL=HTTP/1.1,benign,0.8349859714508057,0.7608795523643493,7.449214458465576,8.26656985282898,0,benign,accepted
22,METHOD=HEAD PATH=/old/config.json QUERY= PROTOCOL=HTTP/1.1,benign,0.6543798446655273,0.7608795523643493,8.082408905029297,8.26656985282898,0,benign,accepted
23,METHOD=HEAD PATH=/www.rar QUERY= PROTOCOL=HTTP/1.1,benign,0.8439509868621826,0.7608795523643493,7.818117618560791,8.26656985282898,0,benign,accepted
24,METHOD=HEAD PATH=/old/backup.sql.tar QUERY= PROTOCOL=HTTP/1.1,benign,0.9395052790641785,0.7608795523643493,6.249758243560791,8.26656985282898,0,benign,accepted
25,METHOD=HEAD PATH=/sftp-config.json QUERY= PROTOCOL=HTTP/1.1,benign,0.6763737201690674,0.7608795523643493,7.731873512268066,8.26656985282898,0,benign,accepted
26,METHOD=HEAD PATH=/restore/backup.sql QUERY= PROTOCOL=HTTP/1.1,benign,0.8369590044021606,0.7608795523643493,7.589991092681885,8.26656985282898,0,benign,accepted
27,METHOD=HEAD PATH=/old/wallet.dat QUERY= PROTOCOL=HTTP/1.1,benign,0.7711478471755981,0.7608795523643493,7.254820823669434,8.26656985282898,0,benign,accepted
28,METHOD=HEAD PATH=/backup/config.json QUERY= PROTOCOL=HTTP/1.1,benign,0.6856837868690491,0.7608795523643493,8.348173141479492,8.26656985282898,1,unknown,low_confidence+far_from_centroid
29,METHOD=HEAD PATH=/bak/www.rar QUERY= PROTOCOL=HTTP/1.1,benign,0.8576188087463379,0.7608795523643493,8.009885787963867,8.26656985282898,0,benign,accepted
30,METHOD=GET PATH=/uploads/up.php QUERY= PROTOCOL=HTTP/1.1,command_exec,0.9918714761734009,0.7608795523643493,1.8871263265609741,4.200531862974167,0,command_exec,accepted
31,METHOD=HEAD PATH=/directory.tar QUERY= PROTOCOL=HTTP/1.1,benign,0.8639774918556213,0.7608795523643493,6.801586151123047,8.26656985282898,0,benign,accepted
32,METHOD=HEAD PATH=/ftpsync.settings QUERY= PROTOCOL=HTTP/1.1,suspicious_path_probe,0.6293476819992065,0.7608795523643493,4.9015116691589355,4.364269733428955,1,unknown,low_confidence+far_from_centroid
